customer_id,customer_name,customer_street,customer_city,customer_country,customer_postcode,customer_email,customer_contact,related_id
CUS3856926208,Kip Mifflin,10584 Bartillon Street,Taverny,France,95251 CEDEX,kmifflinb4@apple.com,184-104-0254,N/A
CUS1250440130,Merry Tomasini,0721 Homewood Place,Bettendorf,Luxembourg,L-9359,mtomasinib5@csmonitor.com,140-128-0798,N/A
CUS8548635932,Jae Manz,5 Ruskin Road,Laval,France,53080 CEDEX 9,jmanzb6@va.gov,796-353-6487,CUS6634254907
CUS2345324414,Dolorita Hanson,787 Southridge Park,Marseille,France,13464 CEDEX 16,dhansonb7@friendfeed.com,254-374-6843,N/A
CUS1773637339,Truda Manilove,0046 Starling Street,Neuilly-sur-Marne,France,93335 CEDEX,tmaniloveb8@sitemeter.com,114-481-4578,N/A
CUS1595300775,Meade Bennallck,49765 Spohn Plaza,Paris 09,France,75312 CEDEX 09,mbennallckb9@upenn.edu,196-840-8848,N/A
CUS0571636772,Leigh Baff,71 Schmedeman Street,Breda,Netherlands,4829,lbaffba@yellowbook.com,492-252-0927,N/A
CUS4723959378,Wally Briat,80 Bowman Street,Cagnes-sur-Mer,France,06804 CEDEX,wbriatbb@reverbnation.com,992-290-7575,N/A
CUS7932932270,Micheal Gorges,722 Paget Terrace,V¨¦nissieux,France,69639 CEDEX,mgorgesbc@instagram.com,228-848-9417,CUS8393010047
CUS9198272152,Oliy Mewe,5 Duke Point,Tullyallen,Ireland,E25,omewebd@npr.org,568-745-6191,N/A
CUS4357285046,Todd Lillicrap,1212 Gateway Way,Schirmeck,France,67137 CEDEX,tlillicrapbe@tuttocitta.it,847-667-1919,N/A
CUS0984359389,Bradly Rodgers,7 Declaration Circle,Saint-Jean-de-Braye,France,45809 CEDEX,brodgersbf@comcast.net,119-340-5255,N/A
CUS0793735084,Kizzee Stealy,794 Burrows Terrace,Cherryville,Ireland,P31,kstealybg@lycos.com,219-697-1413,N/A
CUS9117120543,Hayes Boak,9932 Transport Junction,N?mes,France,30006 CEDEX 4,hboakbh@vimeo.com,261-513-9262,N/A
CUS6774404065,Suellen Flanne,11 Di Loreto Pass,Cavaillon,France,84304 CEDEX,sflannebi@vkontakte.ru,114-395-5737,CUS3712301669
CUS6482670962,Yehudi Smale,6 Dakota Pass,Marseille,France,13293 CEDEX 08,ysmalebj@altervista.org,591-117-2132,N/A
CUS3213558575,Sonnie Anyon,0966 Becker Court,Old Kilcullen,Ireland,R56,sanyonbk@cbc.ca,724-728-8493,N/A
CUS6995828429,Kingsley Colleton,8 Dapin Park,Morez,France,39409 CEDEX,kcolletonbl@dion.ne.jp,348-157-6562,N/A
CUS5699587551,Deeann Bick,25 Armistice Avenue,Paris 17,France,75837 CEDEX 17,dbickbm@aol.com,172-864-6453,N/A
CUS6657950187,Tanny Beamiss,267 Killdeer Point,Tallaght,Ireland,D24,tbeamissbn@nhs.uk,759-807-0848,N/A
CUS1539654281,Lenci Mc Meekin,673 Hanson Point,IJmuiden,Netherlands,1974,lmcbo@google.fr,284-562-9397,N/A
CUS2684721181,Vinny Spain-Gower,836 Erie Terrace,Rennes,France,35009 CEDEX,vspaingowerbp@eepurl.com,617-646-2540,CUS0040865932
CUS1139922009,Norma Kingzeth,220 Hallows Junction,Garnich,Luxembourg,L-8356,nkingzethbq@fastcompany.com,879-622-0359,N/A
CUS2715471564,Kimmi Leathlay,628 Grim Court,Rouen,France,76029 CEDEX,kleathlaybr@slate.com,448-622-0608,N/A
CUS5398630814,Corby Perry,930 Fieldstone Court,Firminy,France,42704 CEDEX,cperrybs@tripod.com,295-818-0271,N/A
