customer_id,customer_name,customer_street,customer_city,customer_country,customer_postcode,customer_email,customer_contact,related_id
CUS4117705415,Janela Brithman,3370 Graedel Place,Eadestown,Ireland,A86,jbrithman8c@scribd.com,158-637-0383,N/A
CUS0667980644,Amity Rossant,3213 Ramsey Park,Belfort,France,90009 CEDEX,arossant8d@nba.com,935-638-1976,N/A
CUS9669922704,Elena Exroll,534 Welch Court,Veldhoven,Netherlands,5509,eexroll8e@naver.com,695-274-3697,N/A
CUS6122795623,Pascale McKew,06977 Morningstar Court,Strasbourg,France,67953 CEDEX 9,pmckew8f@redcross.org,883-942-5995,CUS3587428794
CUS6401927836,Essa Andrea,1 Sullivan Avenue,Angers,France,49033 CEDEX 01,eandrea8g@hubpages.com,727-631-8062,N/A
CUS9400284608,Dasya Minchin,8 Dexter Park,Thaon-les-Vosges,France,88154 CEDEX,dminchin8h@nymag.com,886-275-7986,CUS2798134854
CUS5147122206,Breena Broz,8 Pine View Center,Troyes,France,10014 CEDEX,bbroz8i@webmd.com,798-590-2408,N/A
CUS5318750257,Terrance Golly,1 Dunning Park,Tuam,Ireland,H54,tgolly8j@bravesites.com,517-141-1358,CUS7852288898
CUS1713550946,Sullivan Pillans,46 Heath Trail,Abbeville,France,80146 CEDEX,spillans8k@apple.com,709-898-6362,N/A
CUS9937349176,Olly Follin,11 Glendale Plaza,Agen,France,47912 CEDEX 9,ofollin8l@blogtalkradio.com,949-179-4424,CUS2348169959
CUS6120903224,Adriana Trorey,3 Gerald Lane,_vreux,France,27095 CEDEX 9,atrorey8m@pagesperso-orange.fr,332-220-4374,N/A
CUS2858167869,Maryjane Lourenco,6 Weeping Birch Street,Pessac,France,33604 CEDEX,mlourenco8n@ask.com,980-411-1536,N/A
CUS7416800110,Krystalle Furmenger,9 Oak Lane,Arcueil,France,94114 CEDEX,kfurmenger8o@seattletimes.com,725-942-8007,N/A
CUS2515867197,Neile McBean,6374 Dunning Circle,Paris 02,France,75075 CEDEX 02,nmcbean8p@goo.gl,845-650-4610,N/A
CUS1208700103,Saba Rembrandt,7 Hermina Drive,P¨¦tange,Luxembourg,L-8381,srembrandt8q@gizmodo.com,760-419-4413,N/A
CUS4743094178,Yoko Tabbernor,717 Spaight Place,Nantes,France,44101 CEDEX 4,ytabbernor8r@purevolume.com,176-104-9298,N/A
CUS1104107678,Robina Prophet,325 Golf Road,Blois,France,41004 CEDEX,rprophet8s@360.cn,175-700-5252,CUS9648108056
